SDeLateur,84
MDeLateur,-31.75
BigByteMe,55.25
KOThompson,18
RDeLateur,-97
MattDeLateur,-28.5
SDeLateur,2020-11-17 00:06:34,-5,$5 Tournament rebuy
SDeLateur,2020-11-17 00:14:33,-5,$5 Tournament rebuy
SDeLateur,2020-11-17 23:01:30,-5,$5 Tournament
SDeLateur,2020-11-16 21:29:37,-5,$5 Tournament
SDeLateur,2020-11-16 23:57:28,-5,$5 Tournament
SDeLateur,2020-11-22 22:51:37,-5,Another $5 tourney
SDeLateur,2020-11-22 23:30:37,-5,$5 1hr late reg/rebuy Top 2 chop
SDeLateur,2020-11-22 23:51:13,5,$5 1hr late reg/rebuy Top 2 chop
SDeLateur,2020-11-22 23:51:45,-5,Another $5 tourney
SDeLateur,2020-11-13 22:26:25,-5,$5 Tournament
SDeLateur,2020-11-13 22:44:25,-5,$5 Tournament rebuy
SDeLateur,2020-11-13 23:49:14,14,$5 Tournament
SDeLateur,2020-11-13 23:56:12,-5,$5 Tournament
SDeLateur,2020-11-14 00:18:24,-5,$5 Tournament rebuy
SDeLateur,2020-11-14 00:26:48,-5,$5 Tournament rebuy
SDeLateur,2020-11-14 01:02:43,-5,Another $5 tourney
SDeLateur,2020-11-14 01:06:45,-5,$5 Tournament
SDeLateur,2020-11-14 01:06:51,5,Another $5 tourney
SDeLateur,2020-11-14 22:15:52,-5,$5 Tournament
SDeLateur,2020-11-14 22:57:40,-5,$5 Tournament rebuy
SDeLateur,2020-11-21 00:50:56,-5,Another $5 tourney
SDeLateur,2020-11-21 00:51:27,5,Another $5 tourney
SDeLateur,2020-11-21 00:54:07,-5,Another $5 tourney
SDeLateur,2020-11-21 00:54:16,5,Another $5 tourney
SDeLateur,2020-11-21 00:54:24,-5,$5 1hr late reg/rebuy Top 2 chop
SDeLateur,2020-11-21 01:08:12,-5,$5 1hr late reg/rebuy Top 2 chop rebuy
SDeLateur,2020-11-21 01:40:15,-5,$5 1hr late reg/rebuy Top 2 chop rebuy
SDeLateur,2020-11-21 01:48:28,-5,$5 1hr late reg/rebuy Top 2 chop rebuy
SDeLateur,2020-11-21 02:02:13,12,$5 1hr late reg/rebuy Top 2 chop
SDeLateur,2020-11-23 00:21:53,-5,Another $5 tourney rebuy
SDeLateur,2020-11-23 00:50:12,20,Another $5 tourney
SDeLateur,2020-11-19 00:45:19,15,Top 2 Chop $5
SDeLateur,2020-11-19 00:48:06,-5,$5 Tournament
SDeLateur,2020-11-19 00:51:21,5,$5 Tournament
SDeLateur,2020-11-19 21:54:51,-5,1hr Rebuys/Regist Top 2 Chop
SDeLateur,2020-11-19 22:58:14,-5,$5 1hr late reg/rebuy Top 2 chop
SDeLateur,2020-11-10 22:00:16,-5,$5 Tournament
SDeLateur,2020-11-10 23:26:32,19.5,$5 Tournament
SDeLateur,2020-11-18 00:12:37,5,$5 Tournament
SDeLateur,2020-11-18 00:21:46,-5,$5 Tournament
